iter	Passed	Remaining
0	134	134204
1	136	67885
2	137	45707
3	138	34560
4	140	27878
5	141	23437
6	142	20263
7	144	17857
8	145	15984
9	146	14478
10	147	13283
11	148	12262
12	149	11383
13	151	10641
14	152	9996
15	153	9430
16	154	8922
17	155	8480
18	156	8071
19	157	7694
20	157	7355
21	158	7046
22	159	6775
23	160	6522
24	161	6293
25	162	6076
26	162	5873
27	163	5679
28	164	5497
29	164	5327
30	165	5168
31	165	5019
32	166	4880
33	167	4749
34	167	4625
35	168	4508
36	168	4397
37	169	4292
38	170	4191
39	170	4097
40	171	4007
41	171	3921
42	172	3840
43	173	3763
44	173	3688
45	174	3617
46	175	3548
47	175	3483
48	176	3421
49	176	3361
50	177	3306
51	178	3250
52	178	3196
53	179	3144
54	180	3093
55	180	3045
56	181	2999
57	182	2956
58	182	2913
59	183	2872
60	183	2831
61	184	2792
62	185	2754
63	185	2717
64	186	2682
65	187	2647
66	187	2612
67	188	2579
68	188	2547
69	189	2516
70	189	2485
71	190	2455
72	191	2427
73	191	2400
74	192	2375
75	193	2349
76	193	2323
77	194	2297
78	194	2272
79	195	2247
80	196	2224
81	196	2200
82	196	2175
83	197	2152
84	197	2131
85	198	2110
86	199	2089
87	199	2069
88	200	2049
89	200	2032
90	201	2014
91	202	1995
92	202	1977
93	203	1960
94	203	1942
95	204	1925
96	205	1908
97	205	1892
98	206	1876
99	206	1861
100	207	1846
101	208	1832
102	208	1817
103	209	1802
104	209	1788
105	210	1774
106	210	1760
107	211	1746
108	212	1733
109	212	1720
110	213	1707
111	213	1694
112	214	1682
113	214	1670
114	215	1658
115	216	1646
116	216	1634
117	217	1622
118	217	1611
119	218	1600
120	218	1589
121	219	1578
122	219	1567
123	220	1557
124	221	1547
125	221	1538
126	222	1528
127	223	1519
128	223	1510
129	224	1500
130	224	1491
131	225	1481
132	225	1472
133	226	1463
134	227	1455
135	227	1447
136	228	1438
137	229	1430
138	229	1422
139	230	1413
140	230	1405
141	231	1396
142	231	1388
143	232	1380
144	232	1372
145	233	1364
146	233	1357
147	234	1350
148	235	1342
149	235	1335
150	236	1328
151	237	1323
152	237	1316
153	238	1309
154	239	1303
155	239	1296
156	240	1289
157	240	1282
158	241	1276
159	241	1269
160	242	1262
161	242	1255
162	243	1249
163	244	1244
164	244	1239
165	245	1233
166	246	1227
167	246	1221
168	247	1216
169	247	1210
170	248	1205
171	249	1199
172	249	1193
173	250	1188
174	251	1183
175	251	1179
176	252	1174
177	253	1169
178	253	1164
179	254	1159
180	255	1155
181	255	1150
182	256	1145
183	257	1141
184	257	1136
185	258	1131
186	259	1126
187	259	1121
188	260	1116
189	260	1112
190	261	1107
191	262	1102
192	262	1098
193	263	1094
194	264	1090
195	264	1086
196	265	1081
197	266	1077
198	266	1073
199	267	1069
200	268	1065
201	268	1061
202	269	1057
203	269	1052
204	270	1049
205	271	1045
206	271	1041
207	272	1037
208	273	1033
209	273	1029
210	274	1025
211	274	1021
212	275	1017
213	276	1014
214	276	1010
215	277	1006
216	277	1002
217	278	998
218	279	995
219	279	991
220	280	987
221	280	984
222	281	981
223	282	978
224	283	974
225	283	971
226	284	967
227	284	964
228	285	960
229	285	957
230	286	953
231	287	950
232	287	946
233	288	943
234	288	940
235	289	936
236	289	933
237	290	930
238	291	926
239	291	923
240	292	920
241	292	917
242	293	913
243	293	910
244	294	907
245	295	904
246	295	901
247	296	898
248	297	895
249	297	892
250	298	890
251	299	887
252	299	884
253	300	882
254	300	879
255	301	876
256	302	874
257	303	871
258	303	869
259	304	866
260	305	863
261	305	861
262	306	858
263	306	855
264	307	852
265	308	850
266	308	847
267	309	844
268	309	841
269	310	839
270	310	836
271	311	834
272	312	832
273	313	829
274	313	826
275	314	823
276	314	821
277	315	818
278	315	815
279	316	813
280	316	810
281	317	808
282	318	805
283	318	803
284	319	800
285	319	798
286	320	795
287	320	793
288	321	790
289	321	788
290	322	785
291	323	783
292	323	780
293	324	778
294	324	776
295	325	773
296	326	771
297	326	770
298	327	768
299	328	765
300	328	763
301	329	761
302	329	758
303	330	756
304	331	754
305	331	752
306	332	749
307	332	747
308	333	745
309	333	743
310	334	740
311	335	738
312	335	736
313	336	734
314	336	732
315	337	730
316	337	727
317	338	725
318	338	723
319	339	721
320	340	719
321	340	717
322	341	715
323	342	713
324	342	711
325	343	709
326	343	707
327	344	705
328	345	703
329	345	701
330	346	699
331	346	697
332	347	695
333	347	693
334	348	691
335	349	689
336	349	687
337	350	685
338	350	683
339	351	681
340	351	679
341	352	677
342	352	675
343	353	674
344	354	672
345	354	670
346	355	668
347	356	667
348	356	665
349	357	663
350	357	661
351	358	659
352	359	658
353	359	656
354	360	654
355	360	652
356	361	650
357	362	649
358	362	647
359	363	645
360	363	643
361	364	642
362	364	640
363	365	638
364	366	636
365	366	635
366	367	633
367	367	631
368	368	629
369	368	628
370	369	626
371	370	624
372	370	623
373	371	621
374	372	620
375	372	618
376	373	616
377	373	615
378	374	613
379	374	611
380	375	609
381	375	608
382	376	606
383	377	604
384	377	603
385	378	601
386	378	599
387	379	598
388	379	596
389	380	595
390	381	593
391	381	591
392	382	590
393	382	588
394	383	587
395	383	585
396	384	584
397	385	582
398	385	581
399	386	579
400	387	578
401	387	576
402	388	575
403	389	574
404	389	572
405	390	570
406	390	569
407	391	567
408	391	566
409	392	564
410	393	563
411	393	561
412	394	560
413	394	558
414	395	557
415	395	555
416	396	554
417	396	552
418	397	551
419	398	549
420	398	548
421	399	546
422	399	545
423	400	543
424	401	542
425	401	541
426	402	539
427	402	538
428	403	536
429	403	535
430	404	534
431	405	532
432	405	531
433	406	529
434	406	528
435	407	526
436	407	525
437	408	524
438	408	522
439	409	521
440	410	519
441	410	518
442	411	516
443	411	515
444	412	514
445	412	513
446	413	511
447	414	510
448	414	508
449	415	507
450	416	506
451	416	505
452	417	504
453	418	502
454	418	501
455	419	500
456	419	498
457	420	497
458	420	495
459	421	494
460	422	493
461	422	492
462	423	490
463	423	489
464	424	488
465	425	487
466	426	486
467	426	485
468	427	483
469	427	482
470	428	481
471	428	479
472	429	478
473	430	477
474	430	475
475	431	474
476	431	473
477	432	472
478	433	471
479	433	469
480	434	468
481	434	467
482	435	466
483	436	464
484	436	463
485	437	462
486	437	461
487	438	459
488	438	458
489	439	457
490	440	456
491	440	455
492	441	453
493	441	452
494	442	451
495	442	450
496	443	448
497	444	447
498	444	446
499	445	445
500	445	444
501	446	442
502	446	441
503	447	440
504	448	439
505	448	438
506	449	436
507	449	435
508	450	434
509	451	433
510	451	432
511	452	431
512	453	430
513	453	428
514	454	427
515	454	426
516	455	425
517	455	424
518	456	423
519	457	421
520	457	420
521	458	419
522	458	418
523	459	417
524	460	416
525	460	415
526	461	414
527	462	413
528	462	412
529	463	410
530	464	409
531	464	408
532	465	407
533	465	406
534	466	405
535	466	404
536	467	402
537	467	401
538	468	400
539	469	399
540	469	398
541	470	397
542	470	396
543	471	395
544	471	394
545	472	392
546	473	391
547	473	390
548	474	389
549	474	388
550	475	387
551	476	386
552	476	385
553	477	384
554	477	383
555	478	382
556	479	381
557	479	379
558	480	378
559	480	377
560	481	376
561	481	375
562	482	374
563	483	373
564	483	372
565	484	371
566	484	370
567	485	369
568	485	367
569	486	366
570	486	365
571	487	364
572	488	363
573	488	362
574	489	361
575	489	360
576	490	359
577	490	358
578	491	357
579	492	356
580	492	355
581	493	354
582	493	353
583	494	352
584	495	351
585	495	350
586	496	349
587	496	348
588	497	347
589	497	345
590	498	344
591	499	343
592	499	342
593	500	341
594	500	340
595	501	339
596	501	338
597	502	337
598	502	336
599	503	335
600	503	334
601	504	333
602	505	332
603	505	331
604	506	330
605	506	329
606	507	328
607	508	327
608	508	326
609	509	325
610	509	324
611	510	323
612	510	322
613	511	321
614	512	320
615	512	319
616	513	318
617	513	317
618	514	316
619	514	315
620	515	314
621	516	313
622	516	312
623	517	311
624	517	310
625	518	309
626	518	308
627	519	307
628	520	306
629	520	305
630	521	304
631	522	303
632	522	303
633	523	302
634	524	301
635	524	300
636	525	299
637	526	298
638	526	297
639	527	296
640	528	295
641	529	295
642	529	294
643	530	293
644	530	292
645	531	291
646	532	290
647	533	289
648	533	288
649	534	287
650	535	286
651	535	285
652	536	285
653	537	284
654	537	283
655	538	282
656	539	281
657	539	280
658	540	279
659	541	278
660	541	277
661	542	277
662	543	276
663	544	275
664	544	274
665	545	273
666	546	272
667	547	272
668	548	271
669	548	270
670	549	269
671	550	268
672	551	268
673	552	267
674	553	266
675	553	265
676	554	264
677	555	263
678	555	262
679	556	261
680	556	260
681	557	259
682	557	258
683	558	258
684	559	257
685	559	256
686	560	255
687	560	254
688	561	253
689	562	252
690	562	251
691	563	250
692	563	249
693	564	248
694	565	248
695	566	247
696	566	246
697	567	245
698	568	244
699	568	243
700	569	242
701	570	241
702	570	241
703	571	240
704	571	239
705	572	238
706	573	237
707	573	236
708	574	235
709	574	234
710	575	233
711	576	233
712	576	232
713	577	231
714	578	230
715	578	229
716	579	228
717	580	227
718	580	227
719	581	226
720	582	225
721	582	224
722	583	223
723	583	222
724	584	221
725	585	220
726	585	219
727	586	219
728	586	218
729	587	217
730	588	216
731	588	215
732	589	214
733	589	213
734	590	212
735	590	211
736	591	211
737	592	210
738	592	209
739	593	208
740	593	207
741	594	206
742	595	205
743	595	204
744	596	204
745	597	203
746	597	202
747	598	201
748	598	200
749	599	199
750	600	198
751	600	198
752	601	197
753	601	196
754	602	195
755	602	194
756	603	193
757	604	192
758	604	191
759	605	191
760	605	190
761	606	189
762	606	188
763	607	187
764	608	186
765	608	186
766	609	185
767	610	184
768	610	183
769	611	182
770	611	181
771	612	180
772	613	180
773	613	179
774	614	178
775	615	177
776	615	176
777	616	175
778	617	175
779	617	174
780	618	173
781	619	172
782	619	171
783	620	170
784	620	170
785	621	169
786	622	168
787	622	167
788	623	166
789	624	165
790	624	165
791	625	164
792	626	163
793	627	162
794	627	161
795	628	161
796	629	160
797	629	159
798	630	158
799	631	157
800	631	156
801	632	156
802	633	155
803	633	154
804	634	153
805	635	152
806	635	152
807	636	151
808	636	150
809	637	149
810	638	148
811	638	147
812	639	147
813	640	146
814	641	145
815	641	144
816	642	143
817	643	143
818	643	142
819	644	141
820	644	140
821	645	139
822	646	138
823	646	138
824	647	137
825	647	136
826	648	135
827	648	134
828	649	133
829	650	133
830	650	132
831	651	131
832	651	130
833	652	129
834	653	129
835	653	128
836	654	127
837	654	126
838	655	125
839	656	125
840	657	124
841	657	123
842	658	122
843	658	121
844	659	120
845	660	120
846	660	119
847	661	118
848	661	117
849	662	116
850	663	116
851	663	115
852	664	114
853	665	113
854	666	112
855	666	112
856	667	111
857	668	110
858	668	109
859	669	108
860	669	108
861	670	107
862	671	106
863	671	105
864	672	104
865	673	104
866	673	103
867	674	102
868	674	101
869	675	100
870	676	100
871	676	99
872	677	98
873	677	97
874	678	96
875	678	96
876	679	95
877	680	94
878	680	93
879	681	92
880	681	92
881	682	91
882	682	90
883	683	89
884	683	88
885	684	88
886	685	87
887	685	86
888	686	85
889	687	84
890	687	84
891	688	83
892	688	82
893	689	81
894	690	80
895	690	80
896	691	79
897	691	78
898	692	77
899	693	77
900	693	76
901	694	75
902	694	74
903	695	73
904	696	73
905	696	72
906	697	71
907	697	70
908	698	69
909	698	69
910	699	68
911	700	67
912	700	66
913	701	66
914	702	65
915	702	64
916	703	63
917	703	62
918	704	62
919	704	61
920	705	60
921	706	59
922	706	58
923	707	58
924	707	57
925	708	56
926	708	55
927	709	55
928	710	54
929	710	53
930	711	52
931	711	51
932	712	51
933	712	50
934	713	49
935	714	48
936	714	48
937	715	47
938	715	46
939	716	45
940	717	44
941	717	44
942	718	43
943	719	42
944	719	41
945	720	41
946	721	40
947	721	39
948	722	38
949	722	38
950	723	37
951	724	36
952	724	35
953	725	34
954	725	34
955	726	33
956	726	32
957	727	31
958	727	31
959	728	30
960	729	29
961	729	28
962	730	28
963	730	27
964	731	26
965	732	25
966	732	25
967	733	24
968	734	23
969	734	22
970	735	21
971	736	21
972	736	20
973	737	19
974	737	18
975	738	18
976	738	17
977	739	16
978	740	15
979	740	15
980	741	14
981	741	13
982	742	12
983	743	12
984	743	11
985	744	10
986	744	9
987	745	9
988	746	8
989	746	7
990	747	6
991	747	6
992	748	5
993	748	4
994	749	3
995	750	3
996	750	2
997	751	1
998	751	0
999	752	0
